Region,Latitude,Longitude,Soil_Type,Soil_pH,Organic_Carbon,Clay_pct,Silt_pct,Sand_pct,Avg_Temp_C,Annual_Rainfall_mm,Humidity_pct,Sunlight_hours,Irrigation_Available,Water_Source,Elevation_m,Past_Crop,Yield_kg_per_ha,Suitable_Crop,Best_Planting_Month,Growing_Duration_days
Ampara,7.91,80.85,Sandy,6.5,0.83,36.6,43,33.9,27.6,1326,61,7.4,Yes,Rainfed,337.7,Onion,3546,Maize,June,100
Kandy,9.7,80.54,Clay,6.7,1.81,30.4,49.2,47.2,30,1519,70,7.3,No,Rainfed,1065.1,Maize,3376,Paddy,May,180
Monaragala,7.69,80.11,Loam,7,1.13,33.2,28.6,34.9,29.6,1783,68,6.8,Yes,River,131.7,Groundnut,4096,Coconut,April,180
Matara,8.07,80.32,Loam,6.7,0.77,34,22.1,25.8,24.1,1370,78,6.1,Yes,River,1113.7,Vegetables,3450,Maize,June,180
Kurunegala,9.26,81.56,Laterite,6.7,1.57,30.8,30.4,36.2,23.1,1157,61,6.9,Yes,River,1041.7,Vegetables,4492,Tea,October,80
Ampara,7.99,81.08,Sandy,5.6,1,32.5,42.3,24.5,25.2,1994,72,6.8,No,River,380,Maize,2089,Paddy,May,180
Galle,6.62,80.74,Sandy,6.3,1.02,35.5,33.1,43.1,25.6,1952,74,7.3,No,River,383,Coconut,3882,Vegetables,March,180
Kurunegala,7.07,79.82,Laterite,6,1.1,37.6,44.5,21.6,22.9,1828,75,6.1,Yes,Well,945.1,Maize,3381,Onion,May,90
Anuradhapura,7.11,81.69,Sandy,6,0.78,36.8,36.5,41.1,30.7,1657,70,5.3,Yes,Well,1144.4,Onion,3358,Vegetables,March,365
Anuradhapura,7.45,81.08,Silty,6.6,0.93,41.1,47.9,55.5,26.5,1224,68,5.6,Yes,River,1315.3,Groundnut,2006,Paddy,May,150
Galle,7.56,80.4,Clay,5.9,0.71,20.7,48.4,53.5,31.7,1905,77,7.8,Yes,Rainfed,1278.9,Paddy,3707,Tea,October,180
Monaragala,9.02,81.47,Loam,6.1,1.28,27,22.1,55.3,29.7,1203,81,5.1,No,Rainfed,1447.5,Groundnut,4131,Groundnut,June,90
Galle,7.26,80.29,Clay,6,0.81,43.4,33.7,56.9,26.7,1781,77,8.4,No,Well,874.2,Groundnut,1609,Paddy,May,110
Kandy,7.73,80.83,Loam,7.4,1.59,26.9,38.3,24.2,31.4,1910,83,7.8,No,Well,1363.4,Chilli,3114,Coconut,April,150
Galle,8.34,81.01,Silty,7.4,1.01,18.7,27.7,25.1,26.1,1563,78,8.1,No,Well,1213.7,Paddy,2251,Paddy,May,120
Hambantota,7.37,80.22,Sandy,6.7,1.93,30.8,32.2,42.3,30.6,1783,79,8.3,No,Rainfed,1342.5,Paddy,4461,Groundnut,June,150
Kurunegala,9.16,81.66,Laterite,7.3,1.83,18.3,40.3,55.8,24.3,1771,64,5.5,No,Well,22.4,Paddy,2572,Chilli,April,80
Jaffna,8.19,81.22,Silty,7.1,1.08,21.1,26.8,59,24.5,1112,70,8.3,No,Rainfed,1449,Groundnut,1645,Tea,October,180
Ratnapura,7.05,80.86,Clay,6.7,1.72,44.9,38.1,21.9,25,1635,72,7,Yes,Well,712.9,Coconut,2213,Paddy,May,150
Monaragala,8.68,80.14,Laterite,5.5,1.74,31.2,40.9,34.2,26.6,1003,66,8.5,Yes,Rainfed,1198.3,Paddy,3219,Paddy,May,110
Galle,7.96,79.9,Sandy,7,1.98,23.5,22.7,28.5,26.6,1459,73,8.5,Yes,Well,195.2,Tea,1082,Maize,June,80
Nuwara_Eliya,7.98,80.41,Silty,6.9,1.48,44.8,34.9,50.2,26,1078,67,5.1,Yes,Well,596.9,Maize,3033,Paddy,May,180
Anuradhapura,7.78,81.23,Laterite,6.7,0.81,44,27.9,45.6,23.7,1358,77,6.5,Yes,Rainfed,410.8,Coconut,4246,Onion,May,150
Hambantota,7.84,80.31,Silty,7,1.54,28.2,41.7,24.8,31.1,1816,72,7.1,Yes,Well,441,Tea,3946,Chilli,April,180
Matara,8.88,80.83,Silty,6.5,1.51,22.8,25.7,39.3,27.1,1986,71,7.7,No,River,189.3,Groundnut,1050,Tea,October,80
Ampara,6.3,81.18,Sandy,6.9,1.53,40.2,46.8,47.4,24.9,1250,85,6.1,Yes,Rainfed,1209.6,Groundnut,4476,Maize,June,115
Ratnapura,7.2,80.01,Loam,7.4,1.1,36.5,32.9,51.2,27.8,1485,70,6,No,Well,18.8,Tea,3385,Maize,June,365
Monaragala,6.19,81.1,Laterite,6.3,1.82,35.6,25.9,20.8,29.2,1462,69,6.5,Yes,Rainfed,472.2,Chilli,1400,Coconut,April,115
Jaffna,8.84,79.97,Sandy,6.9,1.95,41.8,33.1,55.6,31.5,1950,68,7,No,Well,265.7,Chilli,846,Groundnut,June,100
Ratnapura,6.96,81.63,Silty,6.5,0.98,35.7,32.3,42.8,26,1426,82,8.8,No,River,885.6,Tea,1434,Paddy,May,365
Galle,9.4,80.73,Sandy,6.8,0.81,23.5,32.9,52.5,21.3,1669,72,8,Yes,Well,385.1,Vegetables,3901,Tea,October,365
Kandy,7.95,80.09,Loam,7,0.95,35.8,37.6,52.3,25.3,1914,75,6.7,Yes,Well,392.2,Chilli,880,Maize,June,110
Anuradhapura,9.02,80.45,Laterite,5.6,1.77,24.2,35.6,27.6,25.7,1311,65,5.2,Yes,River,735.1,Maize,1663,Coconut,April,110
Anuradhapura,9.72,80.59,Loam,6.8,1.58,37.8,24.5,24.4,30.8,1892,74,5.7,Yes,Rainfed,980.8,Maize,3602,Coconut,April,180
Matara,9.18,81.24,Clay,6,1.53,33.6,22,48.9,24.7,1909,67,6.8,Yes,Well,186.4,Vegetables,2969,Coconut,April,150
Kandy,9.28,81.21,Laterite,6.8,1.22,17.3,41.9,26.3,31.4,1924,78,8.3,No,Well,267.4,Groundnut,3696,Coconut,April,115
Ampara,7.49,80.96,Loam,6.4,1.45,30.4,36.8,54,25.8,1197,81,6.5,Yes,River,374.5,Chilli,3561,Maize,June,120
Kurunegala,8.05,80,Silty,7,1.1,25.3,30.8,49,31.7,1340,78,7.2,No,Rainfed,1460.8,Vegetables,987,Tea,October,100
Polonnaruwa,6.89,80.09,Laterite,5.7,1.32,24.9,44.3,53.7,20.1,1857,78,8.6,No,Rainfed,598.7,Paddy,4102,Maize,June,120
Hambantota,6.66,79.98,Laterite,6.8,1.73,33.1,31.6,32,30.8,1295,73,8.7,No,River,900.5,Vegetables,1640,Groundnut,June,180
Anuradhapura,7.87,80.9,Sandy,6.1,1.98,24.7,43.9,32.7,31.2,1560,78,5.9,Yes,River,366.1,Tea,2848,Chilli,April,365
Nuwara_Eliya,8.22,81.47,Silty,7.2,1.91,38.3,29.2,46.8,31.5,1030,71,5.2,Yes,Well,738.2,Maize,3184,Tea,October,100
Anuradhapura,7.22,80.62,Clay,7.4,1.91,17.1,22.2,21.3,20.2,962,76,6.2,Yes,River,115.8,Vegetables,1424,Paddy,May,180
Ratnapura,8.12,80.11,Loam,7.5,1.22,34.8,48,49.1,22.1,1353,66,7.8,Yes,River,56.9,Onion,4412,Maize,June,100
Anuradhapura,9.36,80.86,Sandy,7.1,1.31,39.3,31.8,53.4,27.8,1537,62,8.8,Yes,River,705.8,Chilli,2606,Maize,June,90
Monaragala,8.07,81.34,Loam,7,1.62,35.2,43.8,36.6,20.3,1332,70,5.3,Yes,Rainfed,601,Onion,1013,Maize,June,115
Anuradhapura,8.71,81.21,Clay,5.9,1.9,29.9,28.4,50.6,20.8,1536,72,5.1,No,River,209.6,Chilli,4268,Paddy,May,110
Polonnaruwa,9.04,81.47,Clay,6.2,0.88,43.5,39.4,27,22.7,1467,66,8.5,Yes,Well,1033,Vegetables,2969,Tea,October,115
Polonnaruwa,9.76,80.33,Laterite,6.4,1.1,24,46.2,32.9,26.1,1654,78,8,No,Well,1489.4,Vegetables,3387,Tea,October,120
Ampara,8.25,80.17,Clay,7,0.88,15.6,21.2,59,26.6,1614,62,9,No,Well,596.5,Maize,2743,Paddy,May,100
Jaffna,9.05,81.47,Loam,7.3,1.5,28,44.9,59.5,20.4,1367,66,6.6,Yes,River,938.7,Maize,3889,Maize,June,80
Kurunegala,9.65,81.05,Silty,5.9,1.1,16,37.1,40.5,22,1367,79,6.7,Yes,Rainfed,1444.6,Vegetables,923,Tea,October,110
Nuwara_Eliya,9.58,80.39,Silty,7.3,1.12,43.6,38.2,57.4,26,1055,71,5.7,Yes,River,1248.1,Paddy,1793,Paddy,May,120
Anuradhapura,6.45,81.21,Laterite,6.9,0.79,21.3,35.7,40.9,27.1,1465,78,5.5,Yes,River,698,Chilli,2538,Chilli,April,90
Anuradhapura,7.48,81.35,Loam,6.7,1.15,38.7,46.2,31.7,21.8,1546,74,7.3,Yes,Well,1107.5,Vegetables,1083,Maize,June,90
Hambantota,7.16,80.97,Loam,5.9,1.82,38.2,21.3,30.7,24.8,1424,84,6.5,Yes,River,196.6,Chilli,3412,Maize,June,80
Polonnaruwa,6.24,81.11,Clay,5.6,1,21.5,27.8,57.2,30.9,1258,75,5.3,No,Rainfed,770.6,Coconut,2257,Paddy,May,365
Nuwara_Eliya,8.37,80.51,Loam,6.6,1.6,33.6,46.3,26.9,32,1694,60,8.5,No,Well,422.2,Groundnut,1809,Coconut,April,100
Ampara,8.77,80.82,Sandy,6.8,1.52,16.4,42.6,43.2,31.8,982,69,5.8,No,Rainfed,245.9,Paddy,813,Chilli,April,90
Matara,9.21,80.8,Clay,5.9,1.82,29.5,20.5,42.2,30.6,1906,64,8,No,Rainfed,642.3,Maize,3463,Chilli,April,110
Jaffna,6.38,81.41,Sandy,6.6,0.87,15.4,35.5,49.6,24.7,923,83,6.1,No,Rainfed,200.9,Onion,3885,Chilli,April,120
Kurunegala,9.32,81.4,Laterite,7.2,1.97,42.6,35.9,40,28.2,1959,63,8.3,No,River,1050,Maize,2262,Coconut,April,80
Kandy,8.41,81.38,Silty,7.2,1.46,44.3,32,30.9,25,1409,70,5.5,Yes,River,687.1,Tea,2888,Paddy,May,365
Kurunegala,8.65,79.82,Laterite,7.4,1.99,21.7,28.9,26.8,27.8,1354,66,8,Yes,River,799.1,Groundnut,1642,Tea,October,365
Monaragala,9.45,81.22,Silty,6.2,1.88,21.2,40.5,44.8,23.7,1182,81,5.4,Yes,River,223.8,Maize,3102,Coconut,April,180
Ratnapura,8.34,81.24,Laterite,6.1,0.99,37.6,26.2,48.8,27.3,911,68,6.8,No,Well,214,Chilli,845,Paddy,May,120
Monaragala,7.21,81.09,Loam,7,0.77,22.6,44,42.8,26.3,1202,85,7.9,No,River,877.2,Maize,2608,Maize,June,110
Anuradhapura,9.12,81.24,Sandy,6.4,1.03,41.9,44.1,49.5,20.3,1020,61,5.7,No,Well,1477.6,Vegetables,3184,Maize,June,90
Jaffna,7.32,81.4,Silty,5.7,1.39,32.2,32.5,25.7,29.5,1626,63,6.1,Yes,Rainfed,148.9,Chilli,4197,Paddy,May,180
Ratnapura,6.03,80.69,Clay,6.1,0.92,25.5,28.5,55.3,20.1,1251,66,8.5,Yes,Well,432.2,Chilli,2211,Chilli,April,150
Nuwara_Eliya,9.14,80.75,Sandy,6.3,0.92,40,28.5,43.3,23.5,1744,80,8.5,Yes,River,1304.8,Paddy,3631,Tea,October,110
Kandy,7.25,80.04,Clay,6.1,1.3,29.8,34.5,25.1,20.1,1128,82,5.2,No,Well,113,Maize,3011,Coconut,April,100
Polonnaruwa,8.92,80.53,Sandy,6.2,0.74,42.3,41.6,38.5,24.5,1890,62,5.7,No,River,1314.4,Paddy,4230,Tea,October,120
Jaffna,7.31,81.02,Sandy,6.1,0.86,42.8,30.8,53.8,20.8,1475,61,5.5,No,River,788.8,Onion,2274,Maize,June,80
Jaffna,9.26,81.28,Laterite,5.6,1.24,20,38.3,55.9,31,1026,79,5.7,Yes,Well,615.4,Onion,1981,Paddy,May,90
Monaragala,6.76,80.21,Silty,6.8,0.78,15.1,31.5,30.6,25,1341,63,8.9,No,Well,468,Groundnut,4082,Paddy,May,150
Anuradhapura,9.7,80.06,Silty,6.7,1.22,44.5,29.1,48.5,25.5,1127,63,7.2,Yes,Rainfed,449.2,Chilli,982,Paddy,May,100
Galle,8.94,81.06,Sandy,6.8,1.32,42.2,20.7,24,24.2,1120,61,6.9,Yes,Rainfed,462.2,Vegetables,1305,Maize,June,80
Ampara,6.35,79.8,Loam,5.9,1.29,16.7,20.1,21.3,27.5,1457,61,8.9,Yes,Rainfed,1327.8,Vegetables,1105,Maize,June,90
Monaragala,8.11,80.14,Loam,6.1,1.83,40,26.8,42.4,29.4,1639,67,7.2,Yes,Rainfed,1087.1,Onion,3920,Coconut,April,365
Jaffna,9.74,79.86,Clay,6.7,1.39,28.7,32.2,47.8,27.8,1903,62,7.6,Yes,Rainfed,1006.2,Groundnut,839,Onion,May,150
Hambantota,7.74,80.12,Clay,6.7,1.31,22.8,45.5,51.8,29,1452,69,6.3,Yes,Well,1199.1,Maize,3988,Paddy,May,150
Kandy,6.61,80.14,Laterite,6.5,1.23,41.4,44,33.6,30.9,1962,81,6.5,Yes,Rainfed,389.4,Groundnut,2470,Maize,June,180
Ampara,7.79,80.54,Sandy,6.2,1.76,20.9,28,20.3,30.4,1936,68,7.4,No,Well,929,Groundnut,815,Coconut,April,180
Monaragala,7.9,80.56,Clay,7.3,1.86,43.4,27.3,39.2,28.1,1852,78,5.3,Yes,Rainfed,692.8,Maize,2286,Maize,June,365
Kandy,8.79,81.46,Clay,6.2,1.81,21.2,26.8,20.6,22.6,1450,62,6,No,River,1174.8,Paddy,1491,Tea,October,90
Hambantota,8.63,80.77,Sandy,6.4,1.58,33.4,30.2,23.7,27.7,1055,76,5.8,Yes,Rainfed,467.3,Paddy,3110,Maize,June,180
Matara,7.47,81.17,Laterite,6.9,0.88,21.7,34.9,33.1,26.1,1140,68,5.1,Yes,River,966.6,Chilli,3314,Maize,June,180
Hambantota,6.75,80,Clay,6.6,1.06,31.4,33.2,37.5,28.6,1612,79,7.1,Yes,Well,1323.9,Vegetables,2604,Paddy,May,115
Hambantota,8.42,80.23,Laterite,6.2,0.76,35.5,26.5,31.2,30,1364,63,7.2,No,Rainfed,606.2,Chilli,950,Groundnut,June,115
Kandy,7.54,81.14,Silty,6.4,1.91,20.7,23.9,43.3,28.9,1061,82,6.5,Yes,Well,104.6,Maize,3228,Paddy,May,110
Kurunegala,6.42,79.9,Laterite,7.1,1.56,30.6,20.4,22.2,30.2,1427,66,6.1,Yes,Rainfed,776.5,Maize,3916,Vegetables,March,115
Kandy,9.41,80.72,Loam,6.1,1.67,29.1,24.6,25.8,20.8,919,69,7.6,No,Well,522.2,Coconut,3465,Chilli,April,90
Galle,8.6,80.94,Loam,5.8,1.11,17.1,41.2,47.8,20.4,1707,84,5.5,No,Rainfed,1010,Coconut,3871,Tea,October,90
Anuradhapura,8.56,80.94,Laterite,6.1,1.8,39.5,27.3,25.7,23.1,981,74,7.1,No,Rainfed,1426.8,Tea,1542,Tea,October,115
Ratnapura,9.11,79.84,Loam,7.2,1.04,25.1,34.1,45.6,30.8,1592,69,8.1,No,River,731,Vegetables,4089,Coconut,April,100
Kurunegala,7.97,80.41,Silty,5.7,0.7,32.2,37.7,22.2,29.9,1772,84,5.7,Yes,Well,702,Onion,1992,Paddy,May,80
Polonnaruwa,9.08,81.01,Sandy,7.5,1.19,30.4,46.6,36.3,28.2,1046,68,8,Yes,Well,983.6,Chilli,850,Chilli,April,365
Ratnapura,7.84,80.08,Loam,6.6,1.44,30.4,46.7,27.1,28.4,1471,62,8,No,Well,159.7,Groundnut,3921,Groundnut,June,90
Anuradhapura,6.16,81.12,Loam,7.5,1.32,18.2,42.4,24.4,28.7,1757,85,5.2,Yes,Well,384,Onion,4285,Coconut,April,90
Monaragala,7.48,81.22,Laterite,7.4,1.82,27.7,21.1,42.7,31.3,1187,67,5.1,No,Well,1378.9,Tea,3226,Paddy,May,110
Ampara,7.84,81.67,Silty,6.4,0.84,28.6,37.3,57.1,30,1079,81,8.9,No,River,1006.6,Onion,1656,Paddy,May,90
Galle,8.71,80.2,Sandy,5.9,1.42,37,43.6,22.2,27.5,1271,64,5.8,No,Rainfed,25.1,Vegetables,1731,Maize,June,150
Galle,6.32,81.37,Laterite,5.8,1.37,40.2,20.5,36.9,28,1510,78,8.3,Yes,River,310.9,Vegetables,2526,Tea,October,80
Polonnaruwa,6.45,80.79,Laterite,6,1.07,31.3,36.5,48.3,22.6,1533,73,7.2,No,Well,1025.8,Vegetables,4122,Tea,October,90
Kurunegala,6.93,80.51,Silty,6.9,1.77,17.6,45.7,38.5,27.9,1044,85,6.1,Yes,Well,1147.8,Tea,1354,Paddy,May,115
Matara,6.94,80.03,Sandy,6,1.68,22.1,34.2,52.3,25.1,1403,74,5.5,Yes,Rainfed,1260.6,Paddy,3856,Maize,June,90
Hambantota,8.76,81.2,Silty,6.2,1.65,19.9,20.1,27.2,21.8,1195,61,7,Yes,River,441.8,Groundnut,1878,Chilli,April,365
Kurunegala,6.88,80.25,Sandy,6.4,1.84,18.7,20.3,58.4,29.7,1826,75,6.6,No,Rainfed,1396.9,Vegetables,3792,Onion,May,110
Ampara,8.37,80.51,Silty,7.3,1.64,26,32.5,35.4,26.1,1245,64,7.8,Yes,Rainfed,831.7,Paddy,4205,Paddy,May,365
Matara,7.83,79.92,Laterite,5.9,1,21.9,24.7,33.7,31.7,1823,80,8.6,No,River,1046.3,Vegetables,2382,Paddy,May,80
Galle,8.14,81.32,Laterite,5.5,1.62,21.5,39.9,55,23.4,1371,81,8.2,Yes,Rainfed,897.1,Coconut,2151,Groundnut,June,80
Kandy,9.17,81.26,Clay,5.6,1.1,16.6,41.3,42.6,25.8,1699,72,6.1,Yes,River,188.5,Tea,3768,Paddy,May,80
Ampara,7.48,81.19,Loam,7.3,1.01,15.5,25.3,40.7,25.4,1461,80,8.5,Yes,River,1444.9,Onion,2759,Maize,June,110
Anuradhapura,8.91,80.37,Silty,6.8,0.79,18.1,46.7,49.1,21.4,1584,64,8.3,No,Well,188.7,Coconut,3332,Groundnut,June,365
Polonnaruwa,7.55,80.13,Clay,6,1.67,20.2,33.3,43.2,25.1,1335,72,8.7,No,Rainfed,386,Groundnut,3104,Paddy,May,180
Anuradhapura,7.28,81.01,Loam,5.9,1.62,27.9,24.3,26.5,23.5,1745,70,6.8,No,Well,1221.4,Vegetables,1366,Tea,October,150
Ampara,9.64,80.74,Silty,6.1,1,30.3,42.9,47,21.9,1368,75,8.1,No,Rainfed,929.8,Groundnut,3926,Onion,May,80
Nuwara_Eliya,6.62,80.14,Sandy,5.7,1.67,19.2,43.7,25.3,23.4,1403,61,7.4,Yes,Rainfed,1258,Chilli,1524,Maize,June,100
Nuwara_Eliya,6.25,81.1,Loam,7.4,1.89,27.7,39.2,52.2,22.8,1469,79,6.2,Yes,Well,776,Vegetables,4249,Maize,June,365
Monaragala,8.91,81.68,Laterite,7.1,0.84,25.3,45.6,59.6,28.8,1815,62,9,No,Well,568.6,Maize,1727,Coconut,April,365
Kurunegala,6.17,81.22,Clay,6.4,1,20.5,42.1,35.1,20.4,1625,76,5.2,No,Well,1383.2,Paddy,3515,Tea,October,115
Galle,9.16,81.21,Loam,7.2,1.68,15.2,46.5,37.8,27.4,1284,60,5.6,No,River,59.2,Chilli,1853,Maize,June,120
Galle,7.61,81.61,Loam,6,1.06,29,33,21.9,29.1,1637,81,8.6,No,Rainfed,1284.9,Onion,1976,Coconut,April,120
Hambantota,9.47,80.19,Laterite,6.9,1.51,35.6,42.4,20.5,25.8,1607,64,5.2,Yes,River,350.1,Chilli,1947,Chilli,April,110
Hambantota,8.71,80.87,Silty,7.2,0.81,21.8,50,56.9,31.2,1924,73,8.5,No,Rainfed,1273.9,Onion,3567,Groundnut,June,80
Hambantota,8.28,81.66,Sandy,6.2,1.29,19,41.7,25.1,28.5,1826,67,7.9,No,Rainfed,213.1,Paddy,2860,Tea,October,115
Kandy,9.6,80.11,Laterite,7,1.66,41.6,23.4,37.8,29,1612,78,5.1,Yes,River,872.4,Paddy,4067,Paddy,May,80
Ratnapura,7.45,81.13,Sandy,6.1,1.59,23.3,35.5,52.6,22.4,1276,68,6.7,No,River,1332.7,Groundnut,1937,Maize,June,80
Jaffna,9.62,80.91,Silty,6.1,1.76,21.7,37.6,55.6,29.3,1758,78,8,Yes,Rainfed,712.9,Groundnut,3360,Paddy,May,115
Ratnapura,6.43,80.91,Loam,5.7,1.84,40.7,25.2,40.8,30,1533,67,7.3,No,Well,1121.1,Tea,3586,Coconut,April,115
Anuradhapura,7.79,81.13,Sandy,6.4,1.71,39.5,48.9,42.6,24.3,1984,79,8.7,Yes,Well,1208,Coconut,1360,Tea,October,150
Ratnapura,6.95,81.57,Clay,7,1.57,28.5,25.3,46.8,22.6,1172,61,8.5,No,Well,1106.1,Groundnut,2282,Tea,October,90
Kandy,8.01,81.29,Clay,7.4,0.74,29.7,25.3,58.5,24.6,988,67,6.3,No,Well,1388.4,Chilli,2586,Tea,October,120
Monaragala,6.53,79.91,Laterite,6.7,1.4,21.5,47.5,44.1,28.9,977,72,5.3,No,Rainfed,673,Tea,2116,Tea,October,90
Anuradhapura,9.18,81.42,Silty,7.2,0.75,17.3,34,42.4,25,1604,61,8.8,No,Well,263.8,Onion,1992,Paddy,May,115
Ratnapura,9.2,80.23,Laterite,7.1,1.75,32.2,21.9,20.6,28.8,1933,65,7.1,No,Well,76.5,Tea,3340,Coconut,April,110
Kandy,9.63,80.52,Laterite,5.8,1.12,18,37.9,23.2,21.4,902,83,5.3,Yes,Well,373.5,Chilli,1599,Vegetables,March,115
Jaffna,6.5,80.68,Laterite,6.5,1.43,28.5,38.1,43.1,29.7,1698,84,8.3,No,Rainfed,219.1,Groundnut,3425,Paddy,May,90
Ratnapura,8.33,80.71,Clay,5.7,1.06,43.2,21.9,57.4,23,1623,78,8.5,Yes,River,839.1,Vegetables,4260,Coconut,April,180
Kandy,7.75,80.63,Clay,6.9,1.72,43.6,49.2,54.7,23,1706,66,7.6,Yes,Well,281.5,Onion,2891,Chilli,April,180
Hambantota,7.24,81.58,Laterite,7.4,1.85,22.2,36.3,59.3,27.1,1291,67,6.8,Yes,Rainfed,63.2,Chilli,3062,Chilli,April,120
Galle,7.27,81.14,Clay,5.8,1.22,33.7,36.8,41.1,20.8,1803,76,7.6,Yes,Rainfed,58.8,Maize,1055,Vegetables,March,100
Hambantota,7.51,81,Silty,7,1.82,29.2,35.6,51.5,20.3,949,63,7.8,No,Well,1248.2,Groundnut,3999,Tea,October,110
Galle,8.65,79.89,Laterite,6.8,1.05,41.3,38.3,53.6,23.1,1731,84,8.6,No,River,889.2,Coconut,1856,Tea,October,80
Polonnaruwa,8.23,81.52,Clay,6.7,1.4,23.1,27.9,45.9,26.5,1194,66,8.8,No,River,540.3,Onion,3076,Paddy,May,365
Polonnaruwa,7.69,81.53,Sandy,6.3,1.82,15.1,28.6,33.5,30.9,1425,85,7.1,No,River,1341.9,Chilli,4423,Groundnut,June,115
Polonnaruwa,6.2,81.28,Laterite,6.2,1.12,19.9,35.3,38.8,30.2,1805,72,8.2,Yes,Rainfed,109.9,Groundnut,3003,Tea,October,180
Jaffna,6.2,79.81,Laterite,5.6,1.94,25.5,44.2,54.3,25.9,1198,79,8.9,Yes,Well,1470.6,Paddy,3481,Chilli,April,100
Hambantota,5.91,79.91,Silty,5.9,0.86,24.5,21.5,31.9,20.4,1104,60,5.6,Yes,Well,926.4,Maize,2448,Maize,June,110
Galle,9.67,80.23,Loam,5.5,0.72,38.7,38.1,56.9,26.4,1649,82,5.1,No,Rainfed,279.3,Onion,1023,Chilli,April,110
Kandy,5.92,80.05,Loam,6.7,1.88,35.4,44.2,29.2,28.5,1487,67,8.5,No,Well,1020.2,Onion,3751,Groundnut,June,180
Anuradhapura,6.3,80.56,Silty,5.7,0.79,24,24.7,50,24.1,1466,77,5.8,No,Well,1146.3,Coconut,929,Tea,October,365
Kandy,7.13,81.55,Silty,7.2,1.99,28.7,20.5,45.2,21.3,1182,80,5.2,No,River,646.9,Groundnut,3392,Onion,May,100
Anuradhapura,9.05,80.7,Silty,6.5,1.94,17.9,29.4,50,23.3,938,64,5.6,Yes,Well,1293.1,Paddy,885,Tea,October,150
Nuwara_Eliya,9.65,79.83,Loam,6.9,0.88,41.9,37.6,37.5,29.3,1351,71,6.5,No,Well,230.3,Groundnut,3991,Groundnut,June,365
Kandy,8.98,80.34,Silty,6.3,1.4,43.1,24.1,57.3,24.2,1017,72,5.9,No,Rainfed,421.9,Paddy,1383,Paddy,May,90
Ratnapura,8.59,79.88,Clay,6.6,0.94,44.4,32.8,45.3,29.7,1897,68,6.2,Yes,Rainfed,144.8,Coconut,2703,Onion,May,110
Ratnapura,7.93,79.87,Laterite,7.4,1.26,41.1,36.6,31.5,23.8,945,72,8.9,Yes,River,320.3,Maize,3009,Coconut,April,100
Kurunegala,6.24,80.32,Laterite,5.7,0.78,20.2,38,45.5,22,1375,68,7.8,No,Rainfed,361.9,Onion,2493,Chilli,April,180
Hambantota,9.64,80.32,Sandy,6,0.99,16.4,28.2,31.5,25.2,957,69,7.8,No,River,1376.9,Paddy,2061,Chilli,April,110
Anuradhapura,8.86,81.3,Sandy,7.1,1.17,32.4,32,31.7,25.4,1005,77,5.4,Yes,River,121.8,Tea,2531,Maize,June,365
Anuradhapura,8.39,81.65,Laterite,5.7,1.27,42.4,43.4,36,20.2,1625,76,7.9,No,Well,644,Coconut,1952,Chilli,April,80
Ampara,8.86,80.51,Clay,5.7,1.97,20.3,48.2,54.1,21.4,1612,66,8,Yes,River,800.9,Coconut,2421,Vegetables,March,80
Monaragala,8.72,80.61,Loam,6.2,1.75,15.2,45.9,40,22.2,936,82,7.6,Yes,Well,1348.5,Chilli,2128,Tea,October,110
Hambantota,8.39,81.41,Loam,5.7,1.66,39.2,36.9,47.2,21.4,901,82,5.9,No,River,1496.6,Maize,2895,Tea,October,100
Jaffna,9.72,80.31,Clay,6.7,1.4,17.3,32.3,35.7,24.1,987,73,6.7,Yes,Rainfed,1131.3,Tea,1680,Tea,October,100
Kurunegala,9.42,80.1,Loam,6,1.79,27.4,30,30.5,31.6,1739,71,8.4,No,Rainfed,1456.3,Tea,4458,Coconut,April,90
Jaffna,8.42,81.42,Silty,7.3,1.14,35.4,23.7,58.2,26.1,1543,69,7.7,No,Rainfed,1181.7,Chilli,2653,Paddy,May,90
Jaffna,8.6,79.89,Laterite,7.1,1.62,22.1,23.2,44.1,27.5,942,78,7.9,No,River,1445,Paddy,1518,Vegetables,March,180
Jaffna,6.1,80.98,Laterite,6.9,1.99,17.5,40.7,57.4,24.3,1437,77,7.3,No,River,1062.4,Paddy,2565,Tea,October,80
Hambantota,8.51,80.87,Clay,6.7,1.11,38.1,27.8,28.1,23.9,1683,65,6.8,Yes,Well,124.2,Vegetables,4006,Groundnut,June,180
Jaffna,6.07,80.46,Loam,7.2,1.58,33.9,27.6,25.9,20.3,1856,77,8,No,Well,605.9,Vegetables,881,Coconut,April,100
Ratnapura,8.19,80.4,Sandy,5.9,1.8,44.7,49.9,54.2,26,1927,66,5.3,No,Well,971.7,Tea,3314,Groundnut,June,90
Monaragala,9.8,81.27,Sandy,7.2,1.89,25.3,25.6,47.2,25.8,1260,60,7.7,Yes,Well,529.3,Maize,2827,Maize,June,365
Monaragala,8.07,79.96,Loam,7.1,1.63,16.9,24.4,27.5,21.9,1049,77,9,No,River,413.7,Paddy,1427,Maize,June,115
Polonnaruwa,7.75,80.25,Sandy,7,1.07,37,23,30.8,29.2,1161,76,8.1,No,River,868.2,Coconut,3825,Chilli,April,115
